# Matter power spectrum P(k) at redshift z=2
# for k=1.045e-05 to 10.6861 h/Mpc,
# number of wavenumbers equal to 613
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.984075077536e-01       6.021144336025e+01 
       5.016213743848e-01       5.940332788553e+01 
       5.048352411815e-01       5.861314320917e+01 
       5.080491081405e-01       5.783919879219e+01 
       5.112629752588e-01       5.708007001614e+01 
       5.144768425333e-01       5.633456482703e+01 
       5.176907099612e-01       5.560182720776e+01 
       5.209045775396e-01       5.488064815093e+01 
       5.241184452657e-01       5.417017742412e+01 
       5.273323131368e-01       5.346936168595e+01 
       5.305461811503e-01       5.277774982039e+01 
       5.337600493036e-01       5.209550782432e+01 
       5.369739175941e-01       5.142334206522e+01 
       5.401877860195e-01       5.076228943275e+01 
       5.434016545772e-01       5.011311790293e+01 
       5.466155232651e-01       4.947642128626e+01 
       5.498293920807e-01       4.885155793254e+01 
       5.530432610219e-01       4.823871838118e+01 
       5.562571300865e-01       4.763731275804e+01 
       5.594709992723e-01       4.704718903649e+01 
       5.626848685772e-01       4.646848971861e+01 
       5.658987379993e-01       4.590103741330e+01 
       5.691126075365e-01       4.534471173128e+01 
       5.723264771868e-01       4.479909403546e+01 
       5.755403469485e-01       4.426333822469e+01 
       5.787542168196e-01       4.373653357630e+01 
       5.819680867983e-01       4.321795586462e+01 
       5.851819568828e-01       4.270708407288e+01 
       5.883958270714e-01       4.220399079495e+01 
       5.916096973624e-01       4.170868830388e+01 
       5.948235677541e-01       4.122119682337e+01 
       5.980374382449e-01       4.074129213029e+01 
       6.012513088332e-01       4.026874465360e+01 
       6.044651795175e-01       3.980300953839e+01 
       6.076790502961e-01       3.934395417345e+01 
       6.108929211677e-01       3.889161375353e+01 
       6.141067921308e-01       3.844633191908e+01 
       6.173206631839e-01       3.800849055821e+01 
       6.205345343256e-01       3.757823438173e+01 
       6.237484055545e-01       3.715547881320e+01 
       6.269622768694e-01       3.673993921548e+01 
       6.301761482688e-01       3.633106481379e+01 
       6.333900197516e-01       3.592866466114e+01 
       6.366038913164e-01       3.553249522714e+01 
       6.398177629619e-01       3.514254122144e+01 
       6.430316346871e-01       3.475886170092e+01 
       6.462455064906e-01       3.438141349464e+01 
